1,UC Berkeley
2,UC Los Angeles
3,"""Cal State, Los Angeles"""
4,University of Southern California
5,Southern California Institute of Architecture
6,UC Davis
7,UC Irvine
8,UC Riverside
9,UC San Diego
11,"""Cal State, San Diego State University"""
12,UC San Francisco
13,San Francisco State University
14,UC Santa Barbara
15,UC Santa Cruz
16,"""University of Wisconsin, Madison"""
17,University of Wisconsin-Milwaukee
18,"""University of Wisconsin, La Crosse"""
19,"""University of Wisconsin, River Falls"""
20,Duke University
21,Yale University
22,Harvard University
23,Arizona State University
24,University of Washington
25,Eastern Washington University
26,"""Washington University, St. Louis"""
27,Central Washington University
28,Washington State University
29,"George Washington University"
30,Western Washington University
32,Texas A&M University
33,Southwestern Texas State
34,"University of Texas Medical Branch, Galveston"
35,"University of Texas, Dallas"
36,"University of Texas, Arlington"
37,"University of Texas, Houston"
38,Texas Tech University
39,"University of Texas, El Paso"
40,"University of Texas, San Antonio"
42,Texas Women's University
43,"University of Texas Southwestern Medical School, Dallas"
44,Virginia Tech Hampton Roads Center
45,University of Toronto
46,"York University, Canada"
47,"University of Texas, Pan-American"
48,East Texas State University
49,University of Texas
50,North Texas State University
51,"Texas A&M, Galveston"
52,"Texas A&M, International University"
53,University of North Texas Coliseum
54,Texas Christian University
55,West Texas State University
56,Vanderbilt University
57,"University of Virginia, Charlottesville"
58,West Virgnia University
59,West Virgnia School of Osteopathic Medicine
60,Virginia Commonwealth University
61,Eastern Virginia University
63,"University of Utah, Salt Lake"
64,Utah State University
65,"University of Tennessee"
66,East Tennessee State University
67,"University of Tennessee Health Science Center, Memphis"
68,Tennessee Technical and Vocational School
69,Middle Tennessee State University
70,Tennessee State University
71,Bogus Creek
72,New York University
73,"CUNY, Baruch College"
74,"CUNY, Brooklyn College"
75,Brooklyn Polytech
76,"Long Island University, Brooklyn"
77,SUNY Brooklyn
78,"CUNY, Hunter College"
79,"CUNY, Queens College"
82,SUNY Albany
83,SUNY Binghamton
84,SUNY Buffalo
85,Syracuse University
87,SUNY Upstate Medical University
88,SUNY College of Environmental Science and Forestry
89,SUNY Stony Brook
90,"CUNY, City College"
91,SUNY Oneonta
93,SUNY Geneseo
94,"CUNY, Graduate Center"
96,University of Rochester
99,Union University
100,"University of North Carolina, Chapel Hill"
101,"University of North Carolina, Asheville"
102,"University of North Carolina, Greensboro"
103,North Carolina A&T State University
104,"University of North Carolina, Charlotte"
105,"University of North Carolina, Raleigh"
106,North Carolina Central University
107,North Carolina School for the Arts
108,University of Michigan
109,Michigan State University
110,Michigan Technological Institute
111,Central Michigan University
112,"University of Michigan, Flint"
113,Eastern Michigan University
114,Western Michigan University
115,Wayne State University
116,University of Notre Dame
117,"""University of Illinois, Urbana Champaign"""
118,Illinois State University
120,"University of Illinois, Chicago"
121,Art Institute of Chicago
122,University of Chicago
123,Loyola University
124,Chicago State University
125,""University of Illinois, Springfield"
128,Eastern Illinois University
129,Illinois Institute of Technology
